response_id,sentiment_score,Ppron,Inhib,Space,Filler,Ipron,Time,Humans,SheHe,Percept,Verbs,Quant,Body,Relativ,Nonflu,AuxVb,Cause,Sexual,Relig,Bio,Tentat,Incl,Leisure,Prep,Health,I,Hear,They,Posemo,Affect,Excl,Discrep,Present,CogMech,Death,Work,We,Ingest,Motion,Negate,Achiev,Swear,Social,Friends,Family,Pronoun,Funct,Feel,Money,Insight,Assent,Sad,Past,See,Future,Adverbs,Numbers,Certain,Anger,Home,Conj,Anx,Negemo,You,Article
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1472533711795248,0.058823529411764705,0.0,0.11764705882352941,0.0,0.1568627450980392,0.058823529411764705,0.0,0.0,0.0,0.23529411764705882,0.0392156862745098,0.0,0.19607843137254902,0.0,0.11764705882352941,0.0196078431372549,0.0,0.0,0.0,0.0784313725490196,0.0784313725490196,0.0,0.13725490196078433,0.0,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.0784313725490196,0.0196078431372549,0.1568627450980392,0.35294117647058826,0.0,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0,0.09803921568627451,0.0,0.0,0.21568627450980393,0.6470588235294118,0.0,0.0196078431372549,0.11764705882352941,0.0,0.0,0.0784313725490196,0.0,0.0,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0,0.09803921568627451,0.0,0.0196078431372549,0.0392156862745098,0.0196078431372549
2,-0.41699220695270145,0.42857142857142855,0.0,1.0,0.0,1.2857142857142858,0.5714285714285714,0.0,0.0,0.14285714285714285,2.0,0.2857142857142857,0.0,1.7142857142857142,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,0.0,1.1428571428571428,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,1.2857142857142858,2.857142857142857,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.7142857142857143,0.0,0.0,1.7142857142857142,5.428571428571429,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-0.7479349105642479,0.6,0.0,1.6,0.0,2.0,1.0,0.0,0.0,0.2,3.0,0.4,0.0,3.0,0.0,1.4,0.2,0.0,0.0,0.0,0.8,1.0,0.0,1.8,0.0,0.2,0.0,0.0,0.0,0.2,1.4,0.2,1.8,4.4,0.0,0.2,0.0,0.0,0.4,0.4,0.2,0.0,1.0,0.0,0.0,2.6,8.2,0.0,0.2,1.2,0.0,0.0,1.2,0.2,0.0,0.8,0.0,0.0,0.2,0.0,1.0,0.0,0.2,0.4,0.2
5,4.60604881205519,0.4,0.0,0.8,0.0,1.2,0.7,0.0,0.0,0.1,1.8,0.2,0.0,1.7,0.0,1.0,0.1,0.0,0.0,0.0,0.4,0.5,0.0,0.9,0.0,0.2,0.0,0.0,0.1,0.2,0.8,0.1,1.1,2.4,0.0,0.1,0.0,0.0,0.2,0.2,0.1,0.0,0.5,0.0,0.0,1.6,4.7,0.0,0.1,0.6,0.0,0.0,0.7,0.1,0.0,0.6,0.0,0.1,0.1,0.0,0.5,0.0,0.1,0.2,0.1
6,0.026296009729161775,0.23809523809523808,0.047619047619047616,0.5238095238095238,0.0,0.7142857142857143,0.38095238095238093,0.0,0.0,0.047619047619047616,1.1428571428571428,0.14285714285714285,0.0,1.0952380952380953,0.0,0.7142857142857143,0.047619047619047616,0.0,0.0,0.0,0.19047619047619047,0.3333333333333333,0.0,0.6666666666666666,0.0,0.09523809523809523,0.0,0.0,0.047619047619047616,0.09523809523809523,0.38095238095238093,0.09523809523809523,0.6190476190476191,1.380952380952381,0.0,0.047619047619047616,0.047619047619047616,0.0,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.0,0.2857142857142857,0.0,0.0,0.9523809523809523,3.0,0.0,0.047619047619047616,0.3333333333333333,0.0,0.0,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.0,0.047619047619047616,0.047619047619047616,0.0,0.23809523809523808,0.0,0.047619047619047616,0.09523809523809523,0.09523809523809523
7,-1.0841490795374527,1.0,0.2,2.2,0.0,3.0,1.6,0.0,0.0,0.2,5.2,0.8,0.0,4.6,0.0,3.4,0.2,0.0,0.0,0.0,0.8,1.4,0.0,2.8,0.0,0.4,0.0,0.0,0.2,0.4,1.8,0.4,3.0,6.0,0.0,0.2,0.2,0.0,0.6,0.6,0.2,0.0,1.2,0.0,0.0,4.0,13.6,0.0,0.2,1.4,0.0,0.0,2.0,0.2,0.2,1.4,0.0,0.2,0.2,0.0,1.0,0.0,0.2,0.4,0.6
8,-0.028094042902470306,2.5,0.5,5.5,0.0,7.5,4.5,0.0,0.0,0.5,13.0,2.0,0.0,12.0,0.0,8.5,0.5,0.0,0.0,0.0,2.0,3.5,0.0,7.0,0.0,1.0,0.0,0.0,0.5,1.0,4.5,1.0,7.5,15.0,0.0,0.5,0.5,0.0,1.5,2.0,0.5,0.0,3.0,0.0,0.0,10.0,34.5,0.0,0.5,3.5,0.0,0.0,5.0,0.5,0.5,3.5,0.0,0.5,0.5,0.0,2.5,0.0,0.5,1.0,1.5
9,-1.7153200404470297,2.5,0.5,5.5,0.0,7.5,4.5,0.0,0.0,0.5,13.0,3.0,0.0,12.0,0.0,8.5,0.5,0.0,0.0,0.0,2.0,3.5,0.0,7.0,0.0,1.0,0.0,0.0,0.5,1.0,4.5,1.0,7.5,16.0,0.0,0.5,0.5,0.0,1.5,2.0,0.5,0.0,3.0,0.0,0.0,10.0,35.5,0.0,0.5,3.5,0.0,0.0,5.0,0.5,0.5,3.5,0.0,0.5,0.5,0.0,2.5,0.0,0.5,1.0,1.5
