response_id,sentiment_score,Ppron,Inhib,Space,Filler,Ipron,Time,Humans,SheHe,Percept,Verbs,Quant,Body,Relativ,Nonflu,AuxVb,Cause,Sexual,Relig,Bio,Tentat,Incl,Leisure,Prep,Health,I,Hear,They,Posemo,Affect,Excl,Discrep,Present,CogMech,Death,Work,We,Ingest,Motion,Negate,Achiev,Swear,Social,Friends,Family,Pronoun,Funct,Feel,Money,Insight,Assent,Sad,Past,See,Future,Adverbs,Numbers,Certain,Anger,Home,Conj,Anx,Negemo,You,Article
0,7.438852781764237,0.0,0.0,0.0625,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.125,0.0,0.1875,0.0,0.0,0.0,0.3125,0.0,0.0625,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
1,0.5082518585763762,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.21428571428571427,0.0,0.0,0.0,0.5,0.07142857142857142,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.0,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,0.14285714285714285,1.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
2,2.9530720100916303,0.0,0.0,1.5,0.0,1.0,1.5,0.0,0.0,0.0,3.5,0.5,0.0,3.5,0.0,3.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.5,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,1.5,0.0,1.5,0.0,0.0,1.0,8.0,0.0,0.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5
3,14.95712741199309,0.07317073170731707,0.0,0.17073170731707318,0.0,0.1951219512195122,0.0975609756097561,0.0,0.0,0.04878048780487805,0.36585365853658536,0.0975609756097561,0.0,0.34146341463414637,0.0,0.2682926829268293,0.024390243902439025,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.024390243902439025,0.24390243902439024,0.0,0.07317073170731707,0.0,0.0,0.17073170731707318,0.1951219512195122,0.024390243902439025,0.024390243902439025,0.17073170731707318,0.3170731707317073,0.0,0.12195121951219512,0.0,0.0,0.07317073170731707,0.0,0.17073170731707318,0.0,0.12195121951219512,0.0,0.0,0.2682926829268293,1.024390243902439,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.0,0.0,0.17073170731707318,0.0,0.0,0.024390243902439025,0.0,0.04878048780487805,0.0,0.0,0.0975609756097561,0.0,0.024390243902439025,0.0,0.12195121951219512
4,2.220951495612362,1.5,0.0,3.5,0.0,4.0,2.0,0.0,0.0,1.0,7.5,2.0,0.0,7.0,0.0,5.5,0.5,0.0,0.0,0.0,0.5,2.5,1.0,5.0,0.0,1.5,0.0,0.0,4.0,4.5,0.5,0.5,3.5,6.5,0.0,3.0,0.0,0.0,1.5,0.0,4.0,0.0,3.0,0.0,0.0,5.5,21.0,0.5,0.5,1.0,0.0,0.0,3.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,2.0,0.0,0.5,0.0,2.5
5,3.997700428686422,0.3,0.0,0.8,0.0,0.8,0.6,0.0,0.0,0.2,1.6,0.4,0.0,1.8,0.1,1.2,0.1,0.0,0.0,0.0,0.1,0.7,0.2,1.1,0.0,0.3,0.0,0.0,0.8,0.9,0.1,0.1,0.7,1.5,0.0,0.7,0.0,0.0,0.4,0.0,1.0,0.0,0.7,0.0,0.0,1.1,4.7,0.1,0.1,0.2,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.6,0.0,0.1,0.0,0.5
6,0.7689901134713157,1.0,0.0,3.0,0.0,2.6666666666666665,2.0,0.0,0.0,0.6666666666666666,5.333333333333333,1.3333333333333333,0.0,6.333333333333333,0.3333333333333333,4.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,4.333333333333333,0.0,1.0,0.0,0.0,3.0,3.3333333333333335,0.3333333333333333,0.3333333333333333,2.3333333333333335,5.333333333333333,0.0,2.3333333333333335,0.0,0.0,1.3333333333333333,0.0,3.3333333333333335,0.0,2.3333333333333335,0.0,0.0,3.6666666666666665,16.333333333333332,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,2.6666666666666665,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.0,0.0,0.3333333333333333,0.0,1.6666666666666667
7,-0.03336550826412876,0.75,0.0,2.25,0.0,2.0,1.75,0.0,0.0,0.5,4.0,1.0,0.0,5.0,0.25,3.0,0.25,0.0,0.0,0.0,0.25,1.75,0.5,3.5,0.0,0.75,0.0,0.0,2.5,2.75,0.25,0.25,1.75,4.0,0.0,1.75,0.0,0.0,1.0,0.0,2.75,0.0,1.75,0.0,0.0,2.75,12.75,0.25,0.25,0.5,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.75,0.0,0.0,1.5,0.0,0.25,0.0,1.5
8,2.349111404767653,0.5,0.0,1.5,0.0,1.3333333333333333,1.1666666666666667,0.0,0.0,0.3333333333333333,2.8333333333333335,0.6666666666666666,0.0,3.3333333333333335,0.16666666666666666,2.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,1.3333333333333333,0.3333333333333333,2.5,0.0,0.5,0.0,0.0,1.6666666666666667,1.8333333333333333,0.16666666666666666,0.16666666666666666,1.3333333333333333,3.0,0.0,1.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.8333333333333333,0.0,1.1666666666666667,0.0,0.0,1.8333333333333333,8.833333333333334,0.16666666666666666,0.5,0.5,0.0,0.0,1.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,1.1666666666666667,0.0,0.16666666666666666,0.0,1.0
9,11.665693331715211,0.38461538461538464,0.0,0.7692307692307693,0.0,0.6153846153846154,0.5384615384615384,0.0,0.0,0.15384615384615385,1.3846153846153846,0.3076923076923077,0.0,1.6923076923076923,0.07692307692307693,0.9230769230769231,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.6153846153846154,0.23076923076923078,1.3846153846153846,0.0,0.3076923076923077,0.0,0.0,1.0,1.0769230769230769,0.07692307692307693,0.07692307692307693,0.6153846153846154,1.4615384615384615,0.0,0.7692307692307693,0.07692307692307693,0.0,0.38461538461538464,0.0,1.0769230769230769,0.0,0.7692307692307693,0.0,0.0,1.0,4.461538461538462,0.07692307692307693,0.23076923076923078,0.3076923076923077,0.0,0.0,0.6923076923076923,0.0,0.0,0.15384615384615385,0.0,0.23076923076923078,0.0,0.0,0.5384615384615384,0.0,0.07692307692307693,0.0,0.46153846153846156
10,-0.6979019774378359,0.6666666666666666,0.0,1.2222222222222223,0.0,0.8888888888888888,0.7777777777777778,0.0,0.0,0.2222222222222222,2.111111111111111,0.4444444444444444,0.0,2.6666666666666665,0.1111111111111111,1.4444444444444444,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.3333333333333333,2.3333333333333335,0.0,0.5555555555555556,0.0,0.0,1.4444444444444444,1.5555555555555556,0.2222222222222222,0.1111111111111111,0.8888888888888888,2.2222222222222223,0.1111111111111111,1.1111111111111112,0.1111111111111111,0.0,0.6666666666666666,0.1111111111111111,1.5555555555555556,0.0,1.2222222222222223,0.0,0.0,1.5555555555555556,7.111111111111111,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.0,0.0,1.1111111111111112,0.0,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.7777777777777778
11,1.15962499361572,1.1666666666666667,0.0,2.0,0.0,1.5,1.1666666666666667,0.0,0.0,0.3333333333333333,3.1666666666666665,0.6666666666666666,0.0,4.166666666666667,0.16666666666666666,2.1666666666666665,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,1.3333333333333333,0.5,4.0,0.0,0.8333333333333334,0.0,0.0,2.1666666666666665,2.3333333333333335,0.3333333333333333,0.16666666666666666,1.3333333333333333,3.3333333333333335,0.16666666666666666,1.6666666666666667,0.3333333333333333,0.0,1.0,0.16666666666666666,2.3333333333333335,0.0,2.1666666666666665,0.0,0.0,2.6666666666666665,11.5,0.16666666666666666,0.5,0.6666666666666666,0.0,0.0,1.6666666666666667,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,1.1666666666666667,0.0,0.16666666666666666,0.0,1.1666666666666667
12,6.003589483025038,1.75,0.0,3.0,0.0,2.25,1.75,0.0,0.0,0.5,5.0,1.0,0.0,6.25,0.25,3.5,0.25,0.0,0.0,0.0,0.25,2.0,0.75,6.0,0.0,1.25,0.0,0.0,3.75,4.0,0.5,0.25,2.0,5.25,0.25,2.75,0.5,0.0,1.5,0.25,3.75,0.0,3.25,0.0,0.0,4.0,17.5,0.25,0.75,1.25,0.0,0.0,2.75,0.0,0.0,0.5,0.0,0.75,0.0,0.0,1.75,0.0,0.25,0.0,1.75
13,0.2826464865793092,0.7,0.0,1.3,0.0,1.1,0.7,0.0,0.0,0.2,2.3,0.4,0.0,2.6,0.1,1.6,0.1,0.0,0.0,0.0,0.1,0.8,0.3,2.6,0.0,0.5,0.0,0.0,1.6,1.7,0.3,0.1,1.1,2.3,0.1,1.1,0.2,0.0,0.6,0.2,1.6,0.0,1.3,0.0,0.0,1.8,7.8,0.1,0.3,0.6,0.0,0.0,1.1,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.7,0.0,0.1,0.0,0.8
14,4.046849674495965,0.4117647058823529,0.0,0.8235294117647058,0.0,0.7058823529411765,0.47058823529411764,0.058823529411764705,0.0,0.11764705882352941,1.4705882352941178,0.35294117647058826,0.0,1.6470588235294117,0.058823529411764705,1.0,0.058823529411764705,0.0,0.0,0.0,0.11764705882352941,0.6470588235294118,0.17647058823529413,1.6470588235294117,0.0,0.29411764705882354,0.0,0.0,0.9411764705882353,1.0,0.17647058823529413,0.058823529411764705,0.6470588235294118,1.588235294117647,0.058823529411764705,0.7647058823529411,0.11764705882352941,0.0,0.35294117647058826,0.11764705882352941,0.9411764705882353,0.0,0.8823529411764706,0.0,0.0,1.1176470588235294,5.235294117647059,0.058823529411764705,0.17647058823529413,0.35294117647058826,0.058823529411764705,0.0,0.7647058823529411,0.0,0.0,0.17647058823529413,0.0,0.17647058823529413,0.0,0.0,0.5882352941176471,0.0,0.058823529411764705,0.0,0.5882352941176471
15,1.1420738814365692,1.75,0.0,3.75,0.0,3.0,2.0,0.25,0.0,0.5,6.25,1.75,0.0,7.25,0.25,4.25,0.25,0.0,0.0,0.0,0.75,2.75,0.75,7.25,0.0,1.25,0.0,0.0,4.0,4.25,0.75,0.25,2.75,7.0,0.25,3.25,0.5,0.0,1.5,0.5,4.0,0.0,3.75,0.0,0.0,4.75,23.0,0.25,0.75,1.5,0.5,0.0,3.25,0.0,0.0,0.75,0.0,0.75,0.0,0.0,2.5,0.0,0.25,0.0,2.75
