response_id,sentiment_score,Ppron,Inhib,Space,Filler,Ipron,Time,Humans,SheHe,Percept,Verbs,Quant,Body,Relativ,Nonflu,AuxVb,Cause,Sexual,Relig,Bio,Tentat,Incl,Leisure,Prep,Health,I,Hear,They,Posemo,Affect,Excl,Discrep,Present,CogMech,Death,Work,We,Ingest,Motion,Negate,Achiev,Swear,Social,Friends,Family,Pronoun,Funct,Feel,Money,Insight,Assent,Sad,Past,See,Future,Adverbs,Numbers,Certain,Anger,Home,Conj,Anx,Negemo,You,Article
0,3.0505174729334064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.921927757728673,0.1111111111111111,0.05555555555555555,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.2777777777777778,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.1111111111111111,0.2777777777777778,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.7222222222222222,0.0,0.0,0.05555555555555555,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.05555555555555555
2,1.4501940075073037,0.4,0.2,0.2,0.0,0.4,0.2,0.0,0.0,0.0,1.0,0.2,0.0,0.4,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.4,0.0,0.0,0.8,0.8,0.0,0.0,0.4,1.2,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.8,3.2,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.2
3,0.9068092660330556,0.5,0.25,0.25,0.0,0.75,0.5,0.0,0.0,0.0,1.25,0.25,0.0,0.75,0.25,0.75,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.5,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,1.25,4.25,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.25
4,1.7170567565412043,0.5,0.125,0.25,0.0,0.375,0.25,0.0,0.0,0.0,0.75,0.125,0.0,0.5,0.125,0.375,0.125,0.0,0.0,0.0,0.0,0.25,0.0,0.625,0.0,0.5,0.0,0.0,0.5,0.625,0.0,0.0,0.375,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.125,0.0,0.0,0.875,2.75,0.0,0.0,0.125,0.0,0.0,0.375,0.0,0.0,0.375,0.0,0.125,0.125,0.0,0.25,0.0,0.125,0.0,0.25
5,-1.2693807618145545,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,1.0,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714,0.7142857142857143,0.0,0.14285714285714285,0.42857142857142855,1.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,1.0,3.857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.42857142857142855
6,-0.6865060179372147,0.2631578947368421,0.10526315789473684,0.21052631578947367,0.0,0.3157894736842105,0.10526315789473684,0.0,0.0,0.05263157894736842,0.631578947368421,0.15789473684210525,0.05263157894736842,0.3684210526315789,0.05263157894736842,0.21052631578947367,0.15789473684210525,0.0,0.0,0.10526315789473684,0.0,0.2631578947368421,0.0,0.5263157894736842,0.05263157894736842,0.21052631578947367,0.0,0.0,0.21052631578947367,0.2631578947368421,0.0,0.05263157894736842,0.42105263157894735,0.631578947368421,0.0,0.2631578947368421,0.0,0.0,0.05263157894736842,0.0,0.21052631578947367,0.0,0.10526315789473684,0.0,0.0,0.5789473684210527,1.9473684210526316,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.15789473684210525,0.0,0.0,0.21052631578947367,0.0,0.05263157894736842,0.05263157894736842,0.0,0.21052631578947367,0.0,0.05263157894736842,0.05263157894736842,0.15789473684210525
7,5.59493098850348,0.4444444444444444,0.1111111111111111,0.3888888888888889,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.05555555555555555,0.8888888888888888,0.2222222222222222,0.05555555555555555,0.6666666666666666,0.05555555555555555,0.3333333333333333,0.16666666666666666,0.0,0.0,0.1111111111111111,0.0,0.3888888888888889,0.0,0.8333333333333334,0.05555555555555555,0.3888888888888889,0.0,0.0,0.2222222222222222,0.2777777777777778,0.0,0.05555555555555555,0.6111111111111112,0.7777777777777778,0.0,0.3333333333333333,0.0,0.0,0.05555555555555555,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.7777777777777778,2.7777777777777777,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.05555555555555555,0.05555555555555555,0.0,0.3333333333333333,0.0,0.05555555555555555,0.05555555555555555,0.2222222222222222
8,0.6109687867798118,1.125,0.25,1.125,0.0,0.75,0.625,0.0,0.0,0.125,2.0,0.5,0.125,1.875,0.125,0.75,0.375,0.0,0.0,0.25,0.0,0.875,0.0,2.25,0.125,1.0,0.0,0.0,0.5,0.625,0.0,0.25,1.375,1.875,0.0,0.75,0.0,0.0,0.125,0.0,0.75,0.0,0.5,0.0,0.0,1.875,6.875,0.125,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.125,0.125,0.0,0.75,0.0,0.125,0.125,0.625
9,7.959414945697675,0.5,0.1,0.5,0.0,0.35,0.35,0.05,0.0,0.1,0.9,0.2,0.05,0.95,0.05,0.35,0.2,0.0,0.0,0.1,0.05,0.45,0.0,1.1,0.05,0.4,0.0,0.0,0.25,0.3,0.0,0.15,0.65,1.0,0.0,0.4,0.05,0.0,0.1,0.0,0.3,0.0,0.35,0.05,0.0,0.85,3.25,0.05,0.0,0.15,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.05,0.05,0.0,0.4,0.0,0.05,0.05,0.3
10,1.4501940075073039,1.4285714285714286,0.2857142857142857,1.4285714285714286,0.0,1.1428571428571428,1.0,0.14285714285714285,0.0,0.2857142857142857,2.7142857142857144,0.5714285714285714,0.14285714285714285,2.7142857142857144,0.14285714285714285,1.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.14285714285714285,1.2857142857142858,0.0,3.2857142857142856,0.14285714285714285,1.1428571428571428,0.0,0.0,0.7142857142857143,0.8571428571428571,0.0,0.42857142857142855,2.0,3.2857142857142856,0.0,1.1428571428571428,0.14285714285714285,0.0,0.2857142857142857,0.0,1.0,0.0,1.0,0.14285714285714285,0.0,2.5714285714285716,9.857142857142858,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.5714285714285714,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.14285714285714285,0.0,1.1428571428571428,0.0,0.14285714285714285,0.14285714285714285,1.0
11,-0.28444451975262197,0.8,0.13333333333333333,0.7333333333333333,0.0,0.6666666666666666,0.4666666666666667,0.06666666666666667,0.0,0.13333333333333333,1.4,0.3333333333333333,0.06666666666666667,1.3333333333333333,0.06666666666666667,0.6,0.4,0.0,0.0,0.13333333333333333,0.2,0.7333333333333333,0.0,1.7333333333333334,0.06666666666666667,0.6,0.0,0.0,0.3333333333333333,0.4,0.0,0.2,1.0,1.8666666666666667,0.0,0.6666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.0,0.5333333333333333,0.0,0.5333333333333333,0.06666666666666667,0.0,1.4666666666666666,5.4,0.06666666666666667,0.0,0.4,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.4,0.0,0.06666666666666667,0.06666666666666667,0.0,0.6,0.0,0.06666666666666667,0.06666666666666667,0.5333333333333333
12,4.116642938093703,0.8333333333333334,0.16666666666666666,0.7222222222222222,0.0,0.6666666666666666,0.3888888888888889,0.05555555555555555,0.0,0.1111111111111111,1.3333333333333333,0.2777777777777778,0.05555555555555555,1.2222222222222223,0.05555555555555555,0.6666666666666666,0.3888888888888889,0.0,0.0,0.1111111111111111,0.16666666666666666,0.7777777777777778,0.0,1.6111111111111112,0.05555555555555555,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3888888888888889,0.0,0.16666666666666666,0.9444444444444444,1.8333333333333333,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.0,0.6111111111111112,0.0,0.5,0.05555555555555555,0.0,1.5,5.166666666666667,0.05555555555555555,0.0,0.3888888888888889,0.0,0.0,0.2777777777777778,0.0,0.05555555555555555,0.3888888888888889,0.0,0.05555555555555555,0.05555555555555555,0.0,0.6111111111111112,0.0,0.05555555555555555,0.05555555555555555,0.4444444444444444
13,3.290169866381708,7.5,1.5,6.5,0.0,6.0,3.5,0.5,0.0,1.0,12.0,2.5,0.5,11.5,0.5,6.0,3.5,0.0,0.0,1.0,1.5,7.0,0.5,14.5,0.5,6.0,0.0,0.0,3.5,4.0,0.0,1.5,8.5,16.5,0.0,6.0,1.0,0.0,1.5,0.0,6.0,0.0,4.5,0.5,0.0,13.5,46.5,0.5,0.0,3.5,0.0,0.0,2.5,0.0,0.5,3.5,0.0,0.5,0.5,0.0,5.5,0.0,0.5,0.5,4.0
